,source,destination,mixed_string,semantic_proximity
11189,Computer,Step,CSeemopprttu,0.3178298179418593
11190,Computer,Mummy,CMemmmoprtuuy,0.10227795632661786
11191,Computer,Kung Fu, CFKegmnoprtuuu,0.14350626592095359
11192,Computer,Wedding,CWddeegimnoprtu,0.14094753713073743
11193,Computer,Minotaur,CMaeimnooprrttuu,0.0019088984609878033
11194,Computer,Sleep,CSeeelmopprtu,0.2967294838630319
11195,Computer,Eden,CEdeemnoprtu,0.08820361701484773
11196,Computer,Boxer,BCeemooprrtux,0.03797971613423093
11197,Computer,Homer,CHeemmooprrtu,0.06736921944862176
11198,Computer,Peach,CPaceehmoprtu,0.04299642186347736
11199,Computer,Waitress,CWaeeimoprrssttu,0.10448042004547994
11571,Tiger,Drum,DTegimrru,0.21100831180811158
11572,Tiger,Nose,NTeegiors,0.2650502672528145
11573,Tiger,Anchor,ATceghinorr,0.11960090281832104
11574,Tiger,Shoulder,STdeeghilorru,0.22475665901580724
11575,Tiger,Spirit,STegiiiprrt,0.24945385034155465
11576,Tiger,Book,BTegikoor,0.10845943807276338
11577,Tiger,Kick,KTcegiikr,0.17091017911284145
11578,Tiger,Boss,BTegiorss,0.18467714476023359
11579,Tiger,Rope,RTeegiopr,0.2512982276555
11580,Tiger,Avalanche,ATaaceeghilnrv,0.13272672685535555
11581,Tiger,Sheet,STeeeghirt,0.14653691753062661
11582,Tiger,Tuxedo,TTdeegiorux,0.2521152527123868
11583,Tiger,Shampoo,STaeghimoopr,0.12173975307975772
11584,Tiger,Frog,FTeggiorr,0.5529352694383821
11585,Tiger,Milk,MTegiiklr,0.2049114883376879
11586,Tiger,Gangster,GTaeegginrrst,0.25105221567487096
11587,Tiger,Spurs,STegiprrsu,0.16474842851783753
11588,Tiger,Step,STeegiprt,0.14503240125301647
11589,Tiger,Mummy,MTegimmruy,0.3172421423298012
11590,Tiger,Kung Fu, FKTegginruu,0.36456063141523615
11591,Tiger,Wedding,TWddeeggiinr,0.20268227040925177
11592,Tiger,Minotaur,MTaegiinorrtu,0.2200169373721079
11593,Tiger,Sleep,STeeegilpr,0.23260188565558151
11594,Tiger,Eden,ETdeeginr,0.26571517068326006
11595,Tiger,Boxer,BTeegiorrx,0.34335654270725724
11596,Tiger,Homer,HTeegimorr,0.19533452211249455
11597,Tiger,Peach,PTaceeghir,0.3132182340763313
11598,Tiger,Waitress,TWaeegiirrsst,0.1564892663358624
11599,Tiger,Computer,CTeegimoprrtu,0.1707320383591124
11970,Wagon,Drum,DWagmnoru,0.21068535714730707
11971,Wagon,Nose,NWaegnoos,0.1947104253587272
11972,Wagon,Anchor,AWacghnnoor,0.12887058568185983
11973,Wagon,Shoulder,SWadeghlnooru,0.1917530210446509
11974,Wagon,Spirit,SWagiinoprt,0.19369407456220578
11975,Wagon,Book,BWagknooo,0.13977736036346383
11976,Wagon,Kick,KWacgikno,0.19812607998155699
11977,Wagon,Boss,BWagnooss,0.1346493904768144
11978,Wagon,Rope,RWaegnoop,0.2922877460471593
11979,Wagon,Avalanche,AWaaaceghlnnov,0.2355196847875244
11980,Wagon,Sheet,SWaeeghnot,0.11372100679851144
11981,Wagon,Tuxedo,TWadegnooux,0.11921189517908444
11982,Wagon,Shampoo,SWaaghmnooop,0.09187253845748924
11983,Wagon,Frog,FWaggnoor,0.15656821526039064
11984,Wagon,Milk,MWagiklno,0.2544509283251657
11985,Wagon,Gangster,GWaaeggnnorst,0.12616005689476487
